frp,brightness,brightness_ti5,temp_delta_ti4_ti5,confidence,is_night,facility_distance_m,facility_type_encoded,persistence_score,anomaly_score,cluster_density_3km,historical_recurrence,target
83.29,366.28,334.74,31.54,0.823,0,8340.1,0,0.397,0.763,11,0,4
75.85,359.47,334.05,25.43,0.879,1,26.4,2,0.369,0.847,2,3,0
48.74,336.65,306.71,29.94,0.807,0,21988.2,0,0.243,0.714,11,0,4
2.25,295.84,285.3,10.54,0.483,1,6327.4,0,0.162,0.312,0,1,5
7.78,315.94,305.98,9.96,0.646,0,12592.2,0,0.079,0.118,10,3,2
14.84,332.1,279.43,52.66,0.95,1,115.9,1,0.634,0.472,2,16,1
6.95,346.07,319.88,26.19,0.829,0,1385.1,4,0.752,0.411,3,1,3
36.75,351.62,335.61,16.0,0.75,1,251.3,7,0.544,0.583,3,5,3
10.56,329.86,318.86,11.0,0.675,0,12541.6,0,0.147,0.297,6,0,2
31.19,313.69,276.53,37.16,0.849,0,123.4,1,0.1,0.961,6,2,0
2.72,306.97,300.99,5.97,0.591,0,5401.0,0,0.184,0.218,1,0,5
9.42,311.19,297.35,13.84,0.754,0,13199.1,0,0.103,0.256,7,2,2
22.49,344.1,337.26,6.84,0.797,0,352.3,6,0.631,0.643,4,4,3
24.95,316.79,306.28,10.51,0.775,0,10227.2,0,0.212,0.312,8,2,2
28.36,369.5,326.46,43.04,0.887,1,171.5,1,0.867,0.373,2,12,1
34.76,362.51,339.44,23.07,0.826,0,24820.9,0,0.1,0.794,12,1,4
32.6,344.52,323.92,20.61,0.749,0,14.3,7,0.262,0.811,4,0,0
50.45,360.76,331.86,28.9,0.826,1,53.3,2,0.388,0.958,3,0,0
11.17,327.86,313.67,14.19,0.634,0,7193.7,0,0.157,0.153,15,1,2
28.81,336.92,310.52,26.41,0.944,1,235.4,1,0.337,0.89,2,0,0
38.03,332.91,318.96,13.95,0.751,1,195.9,2,0.316,0.719,5,1,0
22.8,318.68,309.28,9.4,0.896,1,11452.0,0,0.156,0.185,7,1,2
23.85,349.9,309.08,40.82,0.877,1,159.0,1,0.656,0.461,2,16,1
11.31,326.17,318.67,7.5,0.786,0,13517.1,0,0.157,0.159,10,0,2
28.47,341.0,312.52,28.48,0.92,0,119.1,2,0.785,0.261,1,7,1
8.57,305.59,293.37,12.22,0.744,0,8020.5,0,0.161,0.26,9,1,2
1.82,284.92,279.23,5.69,0.449,1,2076.2,0,0.02,0.214,2,3,5
13.35,302.4,289.29,13.11,0.876,0,3138.9,0,0.082,0.444,6,0,2
25.67,365.25,329.99,35.26,0.947,1,21.3,1,0.791,0.455,2,10,1
17.41,309.29,296.45,12.84,0.649,0,12283.1,0,0.073,0.214,9,0,2
56.95,335.66,314.54,21.12,0.71,1,39.4,3,0.306,0.959,4,3,0
21.04,349.81,333.15,16.65,0.759,1,2109.7,6,0.788,0.375,3,6,3
11.36,329.7,325.75,3.95,0.771,0,11113.5,0,0.065,0.344,9,1,2
8.82,311.53,303.09,8.44,0.507,0,14680.0,0,0.123,0.385,7,3,2
2.03,300.51,286.49,14.02,0.405,1,7058.3,0,0.256,0.397,1,0,5
1.47,328.35,321.68,6.67,0.59,0,7879.5,0,0.13,0.051,1,0,5
36.33,310.22,289.27,20.95,0.818,1,31.7,2,0.372,0.913,2,0,0
11.31,317.28,305.48,11.8,0.701,1,5134.2,0,0.064,0.147,10,2,2
4.53,316.47,302.01,14.46,0.727,1,9285.6,0,0.053,0.235,6,3,2
58.13,371.57,343.98,27.59,0.851,0,15665.1,0,0.341,0.835,11,0,4
8.09,334.07,323.47,10.6,0.871,0,2616.5,0,0.058,0.352,9,3,2
74.93,334.03,310.15,23.88,0.708,0,594.0,2,0.436,0.821,3,0,0
40.95,332.02,316.28,15.74,0.75,0,506.2,1,0.445,0.836,3,2,0
17.78,344.28,329.62,14.66,0.832,0,3407.6,0,0.024,0.148,5,0,2
4.94,322.92,310.77,12.15,0.657,0,9495.5,0,0.183,0.171,11,3,2
46.79,330.92,300.8,30.12,0.844,1,208.9,5,0.216,0.915,1,0,0
54.83,355.46,338.66,16.8,0.964,0,795.9,3,0.322,0.711,3,0,0
35.1,354.07,325.37,28.7,0.883,1,201.1,2,0.337,0.931,2,0,0
24.1,335.13,308.53,26.6,0.967,1,20.0,7,0.169,0.724,1,1,0
8.26,330.81,324.62,6.19,0.522,0,9139.0,0,0.238,0.424,11,3,2
5.31,307.82,298.98,8.83,0.482,1,4346.8,0,0.166,0.316,3,0,5
75.53,339.16,311.4,27.77,0.843,0,14593.0,0,0.146,0.835,16,2,4
87.57,316.44,288.73,27.71,0.975,0,102.5,3,0.315,0.807,3,2,0
8.89,309.68,300.25,9.42,0.544,0,3489.3,0,0.259,0.2,1,0,5
91.68,353.38,327.29,26.09,0.875,1,13102.4,0,0.263,0.862,9,3,4
37.4,357.85,319.73,38.11,0.916,1,5.0,1,0.7,0.253,2,10,1
9.22,321.46,313.85,7.6,0.618,0,12973.2,0,0.118,0.287,4,1,2
57.28,333.06,320.49,12.57,0.852,1,67.7,1,0.343,0.944,2,2,0
3.15,306.0,297.47,8.54,0.476,0,5107.0,7,0.207,0.077,1,0,5
18.17,316.68,300.7,15.98,0.825,0,9217.6,0,0.247,0.438,7,3,2
35.5,329.33,308.63,20.7,0.732,1,347.0,1,0.058,0.762,1,0,0
13.38,314.95,308.06,6.89,0.734,0,7257.7,0,0.21,0.325,11,3,2
8.84,336.02,319.98,16.03,0.522,0,10527.2,0,0.236,0.397,8,2,2
14.01,313.24,289.43,23.8,0.827,0,10696.3,0,0.191,0.415,7,0,2
72.29,328.14,296.08,32.06,0.895,1,145.1,1,0.329,0.805,5,1,0
21.99,313.05,305.39,7.66,0.631,0,14337.8,0,0.146,0.155,9,0,2
61.49,368.41,335.0,33.4,0.936,0,426.4,7,0.275,0.835,1,1,0
6.93,318.18,311.98,6.2,0.567,1,1290.9,0,0.236,0.355,2,0,5
18.12,341.26,324.29,16.97,0.641,1,283.6,6,0.594,0.519,2,2,3
36.88,349.02,321.64,27.38,0.74,1,285.3,1,0.092,0.741,4,3,0
4.04,306.93,300.18,6.75,0.231,0,7479.0,0,0.103,0.293,1,0,5
57.7,345.3,318.18,27.13,0.755,0,78.8,7,0.449,0.965,6,1,0
15.63,341.15,304.96,36.19,0.805,1,137.4,1,0.927,0.228,1,16,1
16.1,366.32,339.98,26.34,0.844,1,136.5,1,0.958,0.438,2,13,1
9.86,313.2,298.09,15.11,0.548,0,9051.4,0,0.091,0.143,5,1,2
1.16,301.36,293.79,7.58,0.325,1,3267.7,0,0.222,0.146,0,1,5
16.61,329.93,321.04,8.89,0.64,0,11782.2,0,0.148,0.272,8,1,2
49.82,364.81,343.02,21.79,0.922,1,59.1,5,0.167,0.955,3,2,0
8.56,320.53,303.06,17.48,0.505,0,10525.9,0,0.235,0.413,6,1,2
102.13,378.2,343.45,34.75,0.802,1,5009.0,0,0.131,0.773,11,1,4
47.38,361.71,332.63,29.08,0.824,1,49.7,1,0.96,0.348,1,10,1
55.42,350.86,326.07,24.79,0.854,1,105.6,2,0.261,0.711,3,2,0
79.9,426.46,390.35,36.11,0.975,1,20877.4,0,0.441,0.891,13,0,4
12.11,367.13,321.81,45.33,0.909,1,115.5,1,0.876,0.305,2,11,1
29.88,316.08,289.86,26.22,0.781,0,3.6,1,0.135,0.792,3,2,0
8.5,305.67,294.17,11.5,0.272,0,3217.8,0,0.13,0.239,0,0,5
5.39,317.63,316.97,0.65,0.401,0,1950.5,0,0.105,0.083,2,0,5
26.89,334.57,296.03,38.54,0.987,1,38.3,1,0.904,0.348,2,11,1
28.67,359.95,323.97,35.97,0.91,0,95.4,3,0.84,0.357,2,11,1
24.15,329.02,297.56,31.46,0.861,1,47.1,1,0.878,0.273,2,10,1
71.1,337.17,308.42,28.75,0.798,1,42.8,5,0.359,0.741,4,0,0
8.22,313.31,304.52,8.78,0.279,1,2539.8,0,0.268,0.384,0,0,5
10.0,340.64,301.23,39.41,0.985,1,51.5,1,0.724,0.232,1,14,1
1.83,303.88,297.6,6.28,0.322,1,5221.3,7,0.112,0.124,1,0,5
24.53,349.81,329.45,20.36,0.896,1,54.0,3,0.788,0.348,1,14,1
28.31,315.79,287.41,28.38,0.724,0,404.3,1,0.179,0.763,2,1,0
140.21,319.38,300.14,19.24,0.821,0,3859.1,0,0.376,0.767,12,0,4
9.68,316.17,299.47,16.7,0.535,0,3608.4,0,0.266,0.348,1,0,5
23.01,321.03,309.63,11.39,0.602,1,169.0,7,0.653,0.64,6,8,3
10.17,377.08,342.26,34.82,0.94,1,184.0,2,0.827,0.525,5,14,1
38.24,337.13,299.19,37.94,0.851,1,100.6,1,0.891,0.461,2,14,1
9.33,323.44,309.32,14.11,0.672,0,683.3,4,0.686,0.681,4,6,3
5.6,316.37,302.82,13.54,0.582,0,9257.9,0,0.14,0.161,9,1,2
4.93,306.58,293.1,13.48,0.898,0,10069.6,0,0.229,0.415,9,2,2
33.82,356.63,338.22,18.41,0.863,1,24.1,1,0.273,0.965,4,2,0
57.5,338.76,309.89,28.87,0.83,1,12819.6,0,0.114,0.875,12,1,4
7.41,331.54,323.49,8.05,0.605,0,14118.1,0,0.219,0.245,8,1,2
18.11,326.34,316.4,9.94,0.786,0,5968.8,0,0.178,0.326,7,1,2
42.57,330.74,308.13,22.61,0.89,0,155.5,3,0.33,0.911,5,0,0
67.14,360.62,337.98,22.64,0.908,1,18170.7,0,0.157,0.723,16,1,4
36.15,384.55,352.34,32.21,0.709,1,328.2,3,0.102,0.866,2,5,0
9.62,335.52,326.55,8.97,0.575,1,3923.3,0,0.295,0.105,2,0,5
46.28,359.19,337.06,22.12,0.848,1,675.8,7,0.193,0.739,2,0,0
18.7,319.05,307.1,11.95,0.674,0,2679.9,0,0.021,0.258,2,3,2
25.21,340.95,319.3,21.65,0.727,1,248.5,6,0.637,0.544,8,8,3
24.66,369.27,342.45,26.82,0.918,1,101.7,1,0.717,0.234,4,10,1
46.47,329.0,304.96,24.04,0.886,0,133.0,1,0.177,0.89,5,3,0
11.3,326.98,315.77,11.21,0.488,1,1897.4,0,0.219,0.348,1,0,5
7.59,318.8,280.97,37.83,0.915,1,298.8,1,0.715,0.257,3,12,1
26.04,339.09,305.66,33.44,0.98,1,8.9,1,0.911,0.481,5,19,1
2.97,316.34,309.42,6.92,0.586,1,4931.6,0,0.146,0.243,2,1,5
7.22,313.9,298.59,15.31,0.559,0,3290.9,0,0.08,0.325,14,2,2
7.3,306.6,290.97,15.63,0.599,0,7772.1,0,0.124,0.159,5,1,2
10.61,305.28,295.94,9.34,0.664,1,1649.3,0,0.136,0.334,6,1,2
81.82,351.92,324.48,27.44,0.819,0,12395.4,0,0.488,0.747,12,0,4
11.55,337.95,313.36,24.59,0.921,1,29.4,1,0.665,0.22,3,12,1
27.64,338.02,288.16,49.86,0.975,1,4.4,1,0.771,0.444,1,12,1
19.38,338.1,298.46,39.64,0.986,1,251.9,1,0.915,0.332,3,13,1
41.95,347.79,327.94,19.85,0.731,0,56.7,5,0.175,0.921,6,2,0
18.11,358.36,313.76,44.6,0.817,0,136.5,2,0.677,0.346,4,15,1
32.84,345.1,315.36,29.74,0.912,0,19.3,1,0.695,0.376,2,14,1
16.28,346.16,339.04,7.13,0.515,0,10995.0,0,0.174,0.131,10,2,2
141.55,369.07,329.33,39.74,0.893,1,9404.6,0,0.252,0.904,12,1,4
58.32,343.05,311.38,31.67,0.923,1,292.5,2,0.364,0.829,6,0,0
87.49,376.62,336.43,40.18,0.832,0,6860.8,0,0.356,0.794,14,0,4
97.16,329.15,293.35,35.79,0.91,0,126.4,1,0.327,0.885,1,2,0
32.19,354.66,339.68,14.97,0.932,1,54.5,1,0.236,0.96,2,0,0
10.42,302.85,286.55,16.3,0.799,0,4841.6,0,0.171,0.366,5,2,2
16.82,312.39,302.05,10.34,0.85,1,12871.5,0,0.042,0.147,6,0,2
16.61,319.93,311.52,8.41,0.694,0,12278.0,0,0.242,0.174,8,4,2
7.35,320.35,311.66,8.69,0.566,0,1555.8,0,0.283,0.25,2,0,5
23.4,353.78,318.55,35.22,0.992,1,405.7,3,0.344,0.781,3,1,0
10.29,305.75,291.96,13.79,0.679,0,10232.3,0,0.24,0.262,14,0,2
13.63,334.64,322.96,11.68,0.798,1,4384.3,0,0.215,0.15,5,3,2
10.3,369.78,339.9,29.88,0.899,1,83.7,3,0.956,0.298,2,10,1
44.63,327.5,296.61,30.89,0.755,0,4.0,3,0.104,0.831,3,1,0
56.69,319.02,289.89,29.12,0.72,0,50.5,5,0.216,0.902,3,3,0
42.54,359.17,338.88,20.28,0.869,1,404.9,3,0.34,0.854,5,1,0
64.0,343.61,331.21,12.39,0.943,1,256.3,2,0.079,0.798,6,0,0
8.09,316.58,312.17,4.41,0.415,0,5682.7,0,0.158,0.119,0,0,5
4.85,335.18,324.88,10.3,0.796,0,9376.4,0,0.204,0.298,8,2,2
